"treatment","feel1","feel2","feel3","feel4"
"Same-Sex Marriage Script by Straight Canvasser",0,2,1,6
"Recycling Script by Gay Canvasser",27,27,32,27
"No Contact",78,78,77,67
"Recycling Script by Straight Canvasser",81,82,86,82
"No Contact",49,47,55,43
"No Contact",81,77,79,81
"No Contact",33,37,21,33
"Same-Sex Marriage Script by Straight Canvasser",72,72,76,76
"Recycling Script by Gay Canvasser",76,80,79,70
"Recycling Script by Gay Canvasser",83,80,82,89
"Recycling Script by Gay Canvasser",59,63,61,68
"Recycling Script by Gay Canvasser",48,45,40,47
"No Contact",81,79,83,74
"Same-Sex Marriage Script by Gay Canvasser",42,35,42,NA
"Recycling Script by Straight Canvasser",53,53,51,58
"Recycling Script by Straight Canvasser",21,21,15,21
"No Contact",69,74,67,70
"Same-Sex Marriage Script by Gay Canvasser",21,24,15,11
"Recycling Script by Straight Canvasser",16,18,14,16
"Same-Sex Marriage Script by Gay Canvasser",0,2,6,6
"No Contact",20,24,21,21
"Recycling Script by Straight Canvasser",59,61,53,55
"Same-Sex Marriage Script by Gay Canvasser",69,68,65,69
"No Contact",82,82,75,89
"Same-Sex Marriage Script by Straight Canvasser",60,62,57,51
"No Contact",61,67,59,60
"Same-Sex Marriage Script by Gay Canvasser",84,81,84,81
"Recycling Script by Gay Canvasser",100,100,100,100
"Same-Sex Marriage Script by Gay Canvasser",36,35,43,42
"Same-Sex Marriage Script by Straight Canvasser",40,33,53,42
"Recycling Script by Straight Canvasser",40,55,35,41
"No Contact",92,90,100,98
"Recycling Script by Straight Canvasser",93,92,100,99
"Recycling Script by Straight Canvasser",56,52,NA,43
"Same-Sex Marriage Script by Straight Canvasser",1,4,9,8
"Same-Sex Marriage Script by Straight Canvasser",98,96,94,100
"Recycling Script by Straight Canvasser",89,91,94,100
"No Contact",100,100,89,100
"Recycling Script by Straight Canvasser",22,28,24,18
"Same-Sex Marriage Script by Straight Canvasser",61,66,62,69
"Same-Sex Marriage Script by Gay Canvasser",100,97,97,87
"Recycling Script by Gay Canvasser",41,47,NA,37
"Recycling Script by Straight Canvasser",65,64,60,69
"No Contact",74,80,72,80
"Same-Sex Marriage Script by Straight Canvasser",100,99,100,100
"Recycling Script by Straight Canvasser",51,54,44,53
"Recycling Script by Straight Canvasser",84,91,79,80
"Recycling Script by Straight Canvasser",91,87,93,87
"No Contact",12,12,1,14
"Same-Sex Marriage Script by Gay Canvasser",46,60,52,41
"Same-Sex Marriage Script by Straight Canvasser",77,77,78,74
"Recycling Script by Gay Canvasser",60,62,64,60
"No Contact",56,58,67,44
"Recycling Script by Gay Canvasser",69,67,83,NA
"No Contact",59,56,65,65
"No Contact",100,100,100,97
"Same-Sex Marriage Script by Straight Canvasser",69,66,68,NA
"Same-Sex Marriage Script by Gay Canvasser",72,71,69,71
"Recycling Script by Gay Canvasser",6,1,9,12
"Same-Sex Marriage Script by Straight Canvasser",49,37,48,44
"Recycling Script by Straight Canvasser",87,92,85,82
"Same-Sex Marriage Script by Straight Canvasser",72,73,77,73
"No Contact",0,0,2,0
"Same-Sex Marriage Script by Gay Canvasser",82,80,90,89
"Recycling Script by Gay Canvasser",89,96,98,95
"No Contact",6,1,4,0
"Same-Sex Marriage Script by Straight Canvasser",43,46,40,41
"Recycling Script by Gay Canvasser",78,77,77,85
"Recycling Script by Straight Canvasser",17,19,13,17
"Same-Sex Marriage Script by Straight Canvasser",0,9,0,0
"Recycling Script by Straight Canvasser",71,78,63,64
"Same-Sex Marriage Script by Gay Canvasser",100,100,93,99
"Same-Sex Marriage Script by Gay Canvasser",0,0,4,1
"Recycling Script by Gay Canvasser",60,55,60,48
"Same-Sex Marriage Script by Gay Canvasser",44,43,44,NA
"Recycling Script by Gay Canvasser",51,45,43,40
"Same-Sex Marriage Script by Gay Canvasser",27,39,32,31
"Same-Sex Marriage Script by Straight Canvasser",25,18,42,28
"Same-Sex Marriage Script by Straight Canvasser",91,95,90,98
"Same-Sex Marriage Script by Gay Canvasser",55,54,51,55
"Same-Sex Marriage Script by Gay Canvasser",73,75,80,75
"No Contact",100,100,97,85
"Recycling Script by Straight Canvasser",100,100,100,98
"Same-Sex Marriage Script by Gay Canvasser",75,77,70,74
"No Contact",62,61,47,62
"Recycling Script by Straight Canvasser",100,98,100,100
"Recycling Script by Gay Canvasser",96,100,100,99
"Same-Sex Marriage Script by Gay Canvasser",79,77,80,83
"Same-Sex Marriage Script by Straight Canvasser",50,55,51,42
"Recycling Script by Straight Canvasser",64,68,68,69
"Recycling Script by Gay Canvasser",46,54,54,57
"Recycling Script by Straight Canvasser",86,87,88,77
"Recycling Script by Straight Canvasser",92,89,93,88
"Recycling Script by Straight Canvasser",66,63,60,64
"Same-Sex Marriage Script by Straight Canvasser",0,1,14,7
"Recycling Script by Gay Canvasser",5,5,NA,8
"No Contact",56,53,73,57
"Recycling Script by Straight Canvasser",69,68,69,66
"Recycling Script by Straight Canvasser",34,36,41,33
"Recycling Script by Straight Canvasser",81,81,88,90
"Recycling Script by Gay Canvasser",78,73,66,72
"Same-Sex Marriage Script by Straight Canvasser",90,90,81,NA
"Same-Sex Marriage Script by Straight Canvasser",86,87,72,NA
"Same-Sex Marriage Script by Gay Canvasser",11,13,13,11
"Same-Sex Marriage Script by Straight Canvasser",98,100,88,95
"Recycling Script by Gay Canvasser",66,70,60,63
"Same-Sex Marriage Script by Gay Canvasser",61,56,63,73
"Recycling Script by Straight Canvasser",76,77,67,75
"Same-Sex Marriage Script by Straight Canvasser",53,55,60,53
"No Contact",92,85,85,89
"No Contact",53,47,50,61
"Same-Sex Marriage Script by Gay Canvasser",54,57,48,63
"Same-Sex Marriage Script by Gay Canvasser",21,23,17,25
"No Contact",79,73,83,93
"Same-Sex Marriage Script by Straight Canvasser",40,31,42,42
"Recycling Script by Gay Canvasser",12,10,15,13
"Same-Sex Marriage Script by Straight Canvasser",49,56,40,45
"Same-Sex Marriage Script by Gay Canvasser",81,75,79,76
"No Contact",44,44,38,39
"No Contact",47,51,47,54
"Recycling Script by Straight Canvasser",67,68,NA,NA
"Same-Sex Marriage Script by Straight Canvasser",57,60,49,41
"Same-Sex Marriage Script by Straight Canvasser",86,88,84,83
"Same-Sex Marriage Script by Straight Canvasser",96,99,93,89
"Same-Sex Marriage Script by Straight Canvasser",83,82,76,86
"Same-Sex Marriage Script by Gay Canvasser",97,98,81,100
"No Contact",37,39,27,39
"Same-Sex Marriage Script by Straight Canvasser",60,58,NA,58
"Recycling Script by Gay Canvasser",81,84,79,74
"Same-Sex Marriage Script by Straight Canvasser",37,39,46,46
"Same-Sex Marriage Script by Gay Canvasser",87,89,99,82
"Recycling Script by Straight Canvasser",63,71,56,67
"No Contact",15,12,12,24
"Same-Sex Marriage Script by Straight Canvasser",64,62,67,NA
"Recycling Script by Gay Canvasser",100,93,98,100
"Recycling Script by Gay Canvasser",31,22,24,22
"No Contact",99,95,100,92
"No Contact",69,62,73,66
"Recycling Script by Gay Canvasser",2,1,0,0
"Same-Sex Marriage Script by Gay Canvasser",33,32,36,33
"No Contact",78,83,79,87
"Same-Sex Marriage Script by Gay Canvasser",29,31,26,25
"Same-Sex Marriage Script by Straight Canvasser",84,81,78,89
"No Contact",82,84,78,85
"Same-Sex Marriage Script by Gay Canvasser",53,43,NA,62
"No Contact",0,7,10,6
"Same-Sex Marriage Script by Gay Canvasser",54,53,51,57
"Same-Sex Marriage Script by Straight Canvasser",49,50,38,52
"Recycling Script by Straight Canvasser",39,46,NA,21
"Same-Sex Marriage Script by Gay Canvasser",40,43,53,29
"Recycling Script by Straight Canvasser",30,34,39,NA
"Recycling Script by Straight Canvasser",42,36,36,33
"Same-Sex Marriage Script by Gay Canvasser",85,80,82,97
"Same-Sex Marriage Script by Gay Canvasser",56,62,58,59
"No Contact",54,51,57,62
"Recycling Script by Gay Canvasser",81,78,86,76
"No Contact",58,57,55,58
"Same-Sex Marriage Script by Gay Canvasser",84,77,80,86
"Same-Sex Marriage Script by Gay Canvasser",17,22,17,NA
"No Contact",56,71,53,68
"Recycling Script by Straight Canvasser",100,93,98,100
"Same-Sex Marriage Script by Straight Canvasser",100,93,94,100
"Same-Sex Marriage Script by Straight Canvasser",68,69,NA,60
"Same-Sex Marriage Script by Gay Canvasser",54,54,51,38
"Recycling Script by Gay Canvasser",8,8,NA,3
"Recycling Script by Straight Canvasser",25,19,32,42
"Same-Sex Marriage Script by Gay Canvasser",58,60,57,63
"No Contact",56,61,53,59
"No Contact",45,36,49,53
"Same-Sex Marriage Script by Straight Canvasser",49,49,50,53
"Recycling Script by Gay Canvasser",60,61,70,59
"Recycling Script by Straight Canvasser",45,41,36,41
"Recycling Script by Straight Canvasser",48,47,51,32
"Recycling Script by Straight Canvasser",68,62,73,67
"Recycling Script by Straight Canvasser",67,72,64,52
"Same-Sex Marriage Script by Straight Canvasser",64,55,58,76
"Same-Sex Marriage Script by Straight Canvasser",44,47,51,44
"No Contact",43,35,46,42
"Recycling Script by Straight Canvasser",33,33,30,31
"Same-Sex Marriage Script by Gay Canvasser",70,68,73,67
"No Contact",46,41,43,47
"Same-Sex Marriage Script by Straight Canvasser",67,61,67,78
"No Contact",57,56,60,63
"Recycling Script by Gay Canvasser",45,49,41,47
"Same-Sex Marriage Script by Gay Canvasser",47,47,57,46
"Same-Sex Marriage Script by Straight Canvasser",71,78,72,74
"No Contact",62,70,65,69
"Recycling Script by Straight Canvasser",47,47,NA,54
"No Contact",33,30,30,31
"Recycling Script by Straight Canvasser",33,38,38,30
"No Contact",56,50,46,51
"Recycling Script by Straight Canvasser",7,11,NA,8
"Recycling Script by Gay Canvasser",63,65,69,61
"Recycling Script by Straight Canvasser",24,23,31,22
"Same-Sex Marriage Script by Straight Canvasser",52,51,43,48
"No Contact",100,100,100,92
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,96
"Recycling Script by Straight Canvasser",48,48,45,56
"Recycling Script by Straight Canvasser",44,47,48,41
"Recycling Script by Gay Canvasser",40,42,40,31
"Recycling Script by Gay Canvasser",76,71,74,68
"Same-Sex Marriage Script by Gay Canvasser",39,35,26,40
"Same-Sex Marriage Script by Gay Canvasser",75,73,65,87
"Recycling Script by Straight Canvasser",84,88,79,91
"Same-Sex Marriage Script by Straight Canvasser",82,82,86,79
"Same-Sex Marriage Script by Straight Canvasser",48,51,48,47
"No Contact",58,62,55,66
"No Contact",18,27,14,30
"Recycling Script by Gay Canvasser",80,73,83,82
"Same-Sex Marriage Script by Straight Canvasser",22,20,NA,23
"No Contact",51,48,57,37
"Recycling Script by Straight Canvasser",78,77,82,81
"No Contact",70,77,67,71
"Same-Sex Marriage Script by Gay Canvasser",74,81,76,89
"No Contact",52,52,60,62
"Same-Sex Marriage Script by Straight Canvasser",94,95,93,90
"Same-Sex Marriage Script by Straight Canvasser",95,100,100,92
"Same-Sex Marriage Script by Gay Canvasser",50,49,44,46
"Recycling Script by Gay Canvasser",46,37,44,41
"Recycling Script by Gay Canvasser",26,17,21,19
"Same-Sex Marriage Script by Gay Canvasser",31,39,NA,35
"No Contact",33,27,30,30
"Same-Sex Marriage Script by Straight Canvasser",95,98,100,96
"Recycling Script by Gay Canvasser",70,76,66,71
"Recycling Script by Gay Canvasser",27,22,14,30
"Recycling Script by Gay Canvasser",21,28,18,17
"Same-Sex Marriage Script by Gay Canvasser",39,43,37,52
"Same-Sex Marriage Script by Gay Canvasser",26,35,24,24
"No Contact",82,78,67,90
"Same-Sex Marriage Script by Straight Canvasser",23,21,26,20
"Recycling Script by Gay Canvasser",49,48,58,NA
"Recycling Script by Straight Canvasser",32,34,40,38
"Same-Sex Marriage Script by Gay Canvasser",13,8,10,9
"Recycling Script by Gay Canvasser",42,49,39,43
"Same-Sex Marriage Script by Gay Canvasser",54,59,54,60
"Same-Sex Marriage Script by Straight Canvasser",67,62,67,61
"No Contact",76,70,79,87
"Same-Sex Marriage Script by Gay Canvasser",16,16,17,25
"Same-Sex Marriage Script by Straight Canvasser",70,69,66,54
"Recycling Script by Straight Canvasser",56,58,56,49
"Recycling Script by Straight Canvasser",49,53,49,41
"Recycling Script by Gay Canvasser",82,91,69,94
"Recycling Script by Straight Canvasser",80,84,74,83
"No Contact",27,28,32,24
"No Contact",14,16,NA,3
"Recycling Script by Straight Canvasser",52,52,46,39
"Same-Sex Marriage Script by Gay Canvasser",45,36,56,63
"Recycling Script by Straight Canvasser",100,100,99,100
"Recycling Script by Straight Canvasser",87,87,91,85
"Same-Sex Marriage Script by Straight Canvasser",82,81,89,84
"No Contact",42,48,51,48
"Same-Sex Marriage Script by Straight Canvasser",25,22,19,23
"Recycling Script by Straight Canvasser",37,36,29,43
"Same-Sex Marriage Script by Gay Canvasser",59,59,63,50
"Recycling Script by Gay Canvasser",47,39,37,NA
"Same-Sex Marriage Script by Straight Canvasser",69,64,70,75
"Recycling Script by Gay Canvasser",11,16,11,NA
"Same-Sex Marriage Script by Straight Canvasser",55,53,62,38
"Same-Sex Marriage Script by Straight Canvasser",65,60,71,64
"Same-Sex Marriage Script by Straight Canvasser",48,39,42,56
"Same-Sex Marriage Script by Straight Canvasser",36,34,41,44
"Same-Sex Marriage Script by Straight Canvasser",100,90,100,100
"No Contact",44,38,45,47
"Same-Sex Marriage Script by Gay Canvasser",76,79,74,71
"Recycling Script by Gay Canvasser",56,55,65,50
"Same-Sex Marriage Script by Gay Canvasser",100,93,96,85
"Same-Sex Marriage Script by Gay Canvasser",19,14,11,15
"Recycling Script by Gay Canvasser",38,48,43,NA
"Recycling Script by Gay Canvasser",68,71,58,81
"Same-Sex Marriage Script by Gay Canvasser",66,68,68,58
"Same-Sex Marriage Script by Gay Canvasser",75,77,NA,80
"No Contact",43,44,37,35
"Recycling Script by Gay Canvasser",1,9,8,2
"Recycling Script by Gay Canvasser",35,35,24,42
"Recycling Script by Straight Canvasser",86,85,86,91
"Same-Sex Marriage Script by Straight Canvasser",92,87,89,87
"Recycling Script by Straight Canvasser",33,40,34,39
"Recycling Script by Straight Canvasser",55,55,50,65
"Recycling Script by Gay Canvasser",48,53,37,44
"Recycling Script by Gay Canvasser",74,74,71,66
"Recycling Script by Straight Canvasser",100,97,100,100
"Recycling Script by Gay Canvasser",27,25,25,NA
"Same-Sex Marriage Script by Straight Canvasser",100,100,88,NA
"No Contact",27,29,26,22
"Same-Sex Marriage Script by Straight Canvasser",77,79,88,80
"Same-Sex Marriage Script by Straight Canvasser",72,77,66,75
"Recycling Script by Gay Canvasser",94,100,86,95
"No Contact",87,92,91,NA
"Recycling Script by Straight Canvasser",47,47,47,52
"No Contact",74,71,NA,72
"Recycling Script by Gay Canvasser",29,35,23,24
"Recycling Script by Straight Canvasser",94,100,100,95
"Recycling Script by Straight Canvasser",30,31,26,26
"Recycling Script by Straight Canvasser",95,100,100,100
"Recycling Script by Gay Canvasser",25,20,23,NA
"Same-Sex Marriage Script by Gay Canvasser",74,74,77,74
"Same-Sex Marriage Script by Straight Canvasser",79,79,74,64
"Same-Sex Marriage Script by Gay Canvasser",84,84,84,85
"Same-Sex Marriage Script by Straight Canvasser",82,85,78,85
"Same-Sex Marriage Script by Straight Canvasser",50,48,54,49
"Same-Sex Marriage Script by Gay Canvasser",53,51,58,66
"Recycling Script by Straight Canvasser",59,56,66,69
"No Contact",37,27,46,37
"Same-Sex Marriage Script by Straight Canvasser",69,71,80,68
"Same-Sex Marriage Script by Straight Canvasser",69,71,61,62
"Same-Sex Marriage Script by Straight Canvasser",59,55,60,71
"Recycling Script by Gay Canvasser",53,53,54,57
"Same-Sex Marriage Script by Gay Canvasser",53,47,63,57
"Recycling Script by Gay Canvasser",26,19,26,18
"Recycling Script by Gay Canvasser",100,100,100,94
"Recycling Script by Straight Canvasser",69,67,57,60
"Same-Sex Marriage Script by Straight Canvasser",100,98,100,94
"Recycling Script by Straight Canvasser",45,49,NA,51
"Recycling Script by Gay Canvasser",34,35,30,41
"Same-Sex Marriage Script by Gay Canvasser",64,65,65,60
"Recycling Script by Straight Canvasser",100,100,100,98
"Same-Sex Marriage Script by Straight Canvasser",51,48,39,50
"No Contact",26,30,25,14
"No Contact",37,24,30,32
"Recycling Script by Straight Canvasser",78,89,77,77
"Same-Sex Marriage Script by Straight Canvasser",62,61,74,70
"Recycling Script by Straight Canvasser",16,9,19,12
"No Contact",57,60,55,54
"Recycling Script by Gay Canvasser",59,53,55,56
"Same-Sex Marriage Script by Straight Canvasser",75,81,81,NA
"Recycling Script by Straight Canvasser",94,93,92,91
"Recycling Script by Straight Canvasser",62,66,NA,74
"Recycling Script by Straight Canvasser",68,64,61,60
"Recycling Script by Straight Canvasser",0,0,0,NA
"No Contact",100,100,97,98
"No Contact",45,47,40,43
"Same-Sex Marriage Script by Straight Canvasser",50,53,46,58
"Same-Sex Marriage Script by Gay Canvasser",26,20,26,40
"Recycling Script by Straight Canvasser",45,44,40,NA
"No Contact",52,49,53,62
"No Contact",58,47,64,54
"Same-Sex Marriage Script by Straight Canvasser",46,42,61,52
"Same-Sex Marriage Script by Straight Canvasser",52,50,51,62
"Recycling Script by Gay Canvasser",87,86,87,86
"Recycling Script by Straight Canvasser",100,97,100,100
"Same-Sex Marriage Script by Straight Canvasser",76,74,83,75
"Same-Sex Marriage Script by Gay Canvasser",100,100,99,100
"Same-Sex Marriage Script by Gay Canvasser",100,98,92,94
"No Contact",55,51,57,53
"Recycling Script by Straight Canvasser",100,100,91,100
"Recycling Script by Gay Canvasser",79,85,72,81
"Recycling Script by Straight Canvasser",31,24,21,36
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,11
"Same-Sex Marriage Script by Gay Canvasser",12,13,7,19
"Recycling Script by Gay Canvasser",83,83,85,83
"Same-Sex Marriage Script by Straight Canvasser",39,41,31,49
"No Contact",64,63,70,63
"Same-Sex Marriage Script by Gay Canvasser",71,65,75,71
"Same-Sex Marriage Script by Gay Canvasser",58,53,50,60
"No Contact",0,0,7,0
"Recycling Script by Straight Canvasser",59,57,60,64
"Same-Sex Marriage Script by Gay Canvasser",16,11,22,1
"Recycling Script by Straight Canvasser",76,70,72,78
"Same-Sex Marriage Script by Gay Canvasser",71,71,76,59
"Recycling Script by Gay Canvasser",91,100,86,92
"No Contact",43,41,43,39
"Same-Sex Marriage Script by Gay Canvasser",89,94,92,99
"Recycling Script by Straight Canvasser",49,56,61,50
"Recycling Script by Gay Canvasser",100,100,100,87
"Recycling Script by Straight Canvasser",55,54,50,54
"Recycling Script by Straight Canvasser",29,25,26,31
"Recycling Script by Straight Canvasser",56,60,55,66
"Same-Sex Marriage Script by Straight Canvasser",28,28,34,31
"Recycling Script by Gay Canvasser",8,1,4,8
"No Contact",18,21,18,11
"Same-Sex Marriage Script by Gay Canvasser",39,43,37,30
"No Contact",33,32,39,21
"Recycling Script by Straight Canvasser",22,23,NA,26
"Recycling Script by Gay Canvasser",54,54,57,56
"Recycling Script by Gay Canvasser",39,36,26,37
"Recycling Script by Straight Canvasser",88,93,NA,NA
"No Contact",39,39,34,38
"Recycling Script by Straight Canvasser",100,95,94,100
"Recycling Script by Straight Canvasser",93,87,89,90
"Same-Sex Marriage Script by Straight Canvasser",59,68,58,64
"No Contact",35,47,31,36
"Recycling Script by Gay Canvasser",67,72,68,59
"Recycling Script by Straight Canvasser",78,88,74,90
"Same-Sex Marriage Script by Gay Canvasser",18,20,19,23
"Recycling Script by Gay Canvasser",100,100,91,97
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,100
"No Contact",79,87,81,80
"No Contact",69,66,65,70
"Same-Sex Marriage Script by Straight Canvasser",38,39,50,27
"Recycling Script by Straight Canvasser",25,21,21,28
"Recycling Script by Gay Canvasser",50,54,52,39
"Recycling Script by Gay Canvasser",68,60,67,71
"Recycling Script by Gay Canvasser",100,100,96,93
"Same-Sex Marriage Script by Straight Canvasser",46,44,47,57
"Same-Sex Marriage Script by Straight Canvasser",76,72,67,73
"Same-Sex Marriage Script by Gay Canvasser",10,20,6,17
"Recycling Script by Straight Canvasser",57,58,62,44
"Same-Sex Marriage Script by Gay Canvasser",95,94,100,97
"Same-Sex Marriage Script by Straight Canvasser",65,61,68,57
"No Contact",74,71,70,NA
"Same-Sex Marriage Script by Gay Canvasser",100,98,96,NA
"No Contact",39,41,45,42
"Same-Sex Marriage Script by Straight Canvasser",21,18,20,6
"Same-Sex Marriage Script by Gay Canvasser",35,31,34,44
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,85
"Same-Sex Marriage Script by Gay Canvasser",90,93,NA,89
"Same-Sex Marriage Script by Straight Canvasser",52,47,52,60
"Same-Sex Marriage Script by Straight Canvasser",49,48,46,48
"Recycling Script by Straight Canvasser",44,43,51,47
"Recycling Script by Gay Canvasser",85,82,83,94
"Same-Sex Marriage Script by Straight Canvasser",70,63,NA,85
"Recycling Script by Gay Canvasser",52,53,59,58
"Recycling Script by Gay Canvasser",91,95,78,80
"No Contact",90,92,93,93
"Recycling Script by Straight Canvasser",84,96,76,85
"Same-Sex Marriage Script by Straight Canvasser",92,97,83,91
"Same-Sex Marriage Script by Straight Canvasser",44,53,60,39
"Recycling Script by Straight Canvasser",0,5,3,0
"Same-Sex Marriage Script by Straight Canvasser",49,49,43,58
"Recycling Script by Straight Canvasser",69,65,68,81
"Recycling Script by Gay Canvasser",50,50,39,51
"Same-Sex Marriage Script by Straight Canvasser",12,17,12,0
"Same-Sex Marriage Script by Gay Canvasser",96,100,94,100
"Same-Sex Marriage Script by Gay Canvasser",50,45,52,57
"Same-Sex Marriage Script by Straight Canvasser",53,52,59,54
"Same-Sex Marriage Script by Straight Canvasser",2,4,0,13
"No Contact",42,39,40,44
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,2
"Recycling Script by Straight Canvasser",41,31,NA,40
"Recycling Script by Straight Canvasser",27,35,30,23
"Same-Sex Marriage Script by Gay Canvasser",43,45,NA,46
"No Contact",67,68,66,72
"Same-Sex Marriage Script by Straight Canvasser",61,56,59,61
"Recycling Script by Straight Canvasser",61,56,63,48
"Recycling Script by Gay Canvasser",65,62,69,64
"No Contact",70,73,68,70
"Recycling Script by Straight Canvasser",82,73,92,85
"Same-Sex Marriage Script by Gay Canvasser",43,45,38,42
"Recycling Script by Straight Canvasser",88,84,98,100
"Recycling Script by Straight Canvasser",87,80,90,100
"Same-Sex Marriage Script by Gay Canvasser",44,42,42,49
"Same-Sex Marriage Script by Gay Canvasser",25,31,27,33
"No Contact",76,80,74,71
"Same-Sex Marriage Script by Straight Canvasser",37,36,40,25
"Same-Sex Marriage Script by Gay Canvasser",43,42,53,43
"Same-Sex Marriage Script by Gay Canvasser",43,39,39,39
"Same-Sex Marriage Script by Gay Canvasser",16,13,9,29
"Same-Sex Marriage Script by Straight Canvasser",57,64,56,50
"Recycling Script by Straight Canvasser",62,60,65,70
"Recycling Script by Straight Canvasser",84,79,83,86
"Recycling Script by Gay Canvasser",13,8,NA,0
"Recycling Script by Gay Canvasser",0,0,0,0
"Same-Sex Marriage Script by Straight Canvasser",31,20,33,30
"Same-Sex Marriage Script by Straight Canvasser",75,72,77,86
"Recycling Script by Straight Canvasser",42,42,40,35
"Recycling Script by Straight Canvasser",92,94,99,94
"Recycling Script by Gay Canvasser",92,90,NA,85
"Same-Sex Marriage Script by Gay Canvasser",61,70,58,74
"No Contact",100,97,96,88
"Same-Sex Marriage Script by Straight Canvasser",45,41,NA,47
"Recycling Script by Straight Canvasser",49,54,50,34
"No Contact",36,43,33,37
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,0
"Same-Sex Marriage Script by Straight Canvasser",69,78,72,68
"Same-Sex Marriage Script by Gay Canvasser",27,31,19,43
"Same-Sex Marriage Script by Gay Canvasser",70,77,69,NA
"No Contact",40,34,47,47
"Recycling Script by Straight Canvasser",24,26,24,NA
"Same-Sex Marriage Script by Gay Canvasser",65,71,66,59
"Same-Sex Marriage Script by Gay Canvasser",54,57,58,58
"Same-Sex Marriage Script by Straight Canvasser",36,41,28,26
"Same-Sex Marriage Script by Straight Canvasser",32,32,22,35
"No Contact",55,53,NA,54
"No Contact",100,100,100,100
"Same-Sex Marriage Script by Straight Canvasser",66,63,83,68
"Recycling Script by Gay Canvasser",95,91,94,89
"No Contact",100,100,95,98
"Recycling Script by Gay Canvasser",52,59,55,49
"Recycling Script by Straight Canvasser",21,18,NA,20
"Same-Sex Marriage Script by Gay Canvasser",51,55,45,47
"No Contact",79,88,NA,80
"No Contact",71,71,70,59
"Same-Sex Marriage Script by Gay Canvasser",47,46,51,46
"Recycling Script by Straight Canvasser",45,48,46,39
"Recycling Script by Straight Canvasser",85,93,80,NA
"Recycling Script by Straight Canvasser",86,91,81,91
"No Contact",65,65,66,60
"No Contact",80,81,85,88
"Same-Sex Marriage Script by Straight Canvasser",12,23,16,11
"No Contact",17,11,11,19
"No Contact",72,72,68,69
"Recycling Script by Gay Canvasser",13,9,10,10
"Same-Sex Marriage Script by Gay Canvasser",0,2,3,6
"Recycling Script by Straight Canvasser",52,59,51,66
"Same-Sex Marriage Script by Gay Canvasser",55,61,55,60
"Same-Sex Marriage Script by Gay Canvasser",75,84,70,81
"Same-Sex Marriage Script by Gay Canvasser",71,67,78,62
"Recycling Script by Straight Canvasser",100,98,88,95
"No Contact",73,71,68,68
"Recycling Script by Gay Canvasser",37,42,35,36
"Recycling Script by Straight Canvasser",22,21,28,29
"Recycling Script by Gay Canvasser",53,49,57,57
"Recycling Script by Gay Canvasser",54,51,52,66
"Recycling Script by Straight Canvasser",20,19,19,12
"Same-Sex Marriage Script by Gay Canvasser",37,41,34,44
"No Contact",30,29,29,27
"Recycling Script by Straight Canvasser",41,40,50,33
"No Contact",72,78,62,81
"Recycling Script by Gay Canvasser",36,39,34,36
"No Contact",100,100,100,98
"Recycling Script by Gay Canvasser",36,49,32,44
"Recycling Script by Gay Canvasser",60,66,61,56
"Same-Sex Marriage Script by Straight Canvasser",46,46,42,42
"Recycling Script by Straight Canvasser",59,53,61,61
"Recycling Script by Gay Canvasser",17,19,13,12
"Same-Sex Marriage Script by Gay Canvasser",56,64,63,52
"Recycling Script by Straight Canvasser",51,55,57,51
"Same-Sex Marriage Script by Straight Canvasser",26,34,29,28
"Recycling Script by Straight Canvasser",65,65,59,69
"Same-Sex Marriage Script by Gay Canvasser",29,22,31,NA
"No Contact",47,46,49,30
"Same-Sex Marriage Script by Gay Canvasser",75,75,66,86
"Same-Sex Marriage Script by Straight Canvasser",9,4,0,9
"Same-Sex Marriage Script by Straight Canvasser",90,80,97,NA
"Same-Sex Marriage Script by Straight Canvasser",53,50,48,52
"Recycling Script by Gay Canvasser",64,69,64,56
"No Contact",100,100,90,93
"No Contact",89,96,NA,97
"Recycling Script by Gay Canvasser",53,57,51,73
"No Contact",15,7,23,16
"Same-Sex Marriage Script by Straight Canvasser",78,73,83,70
"Recycling Script by Gay Canvasser",31,33,28,30
"Same-Sex Marriage Script by Straight Canvasser",48,48,59,59
"No Contact",51,49,36,47
"No Contact",58,55,NA,50
"No Contact",52,60,51,50
"Recycling Script by Gay Canvasser",46,47,50,37
"Recycling Script by Gay Canvasser",41,51,36,46
"Same-Sex Marriage Script by Gay Canvasser",54,48,51,NA
"No Contact",63,63,61,62
"No Contact",93,87,100,100
"Recycling Script by Gay Canvasser",10,9,20,NA
"Same-Sex Marriage Script by Gay Canvasser",21,14,21,0
"Same-Sex Marriage Script by Straight Canvasser",54,59,53,64
"Recycling Script by Gay Canvasser",83,87,75,84
"Same-Sex Marriage Script by Straight Canvasser",80,83,88,78
"Recycling Script by Straight Canvasser",42,36,45,40
"Recycling Script by Gay Canvasser",52,54,51,55
"Recycling Script by Straight Canvasser",75,67,80,75
"Recycling Script by Gay Canvasser",75,70,82,58
"Same-Sex Marriage Script by Straight Canvasser",94,93,88,92
"Recycling Script by Straight Canvasser",52,40,55,58
